path,size_bytes,last_commit_date,ref_count,ref_locations,reason_guess
attic/TO_REMOVE_20250808/nextjs-app/node_modules/@tailwindcss/oxide-linux-x64-gnu/tailwindcss-oxide.linux-x64-gnu.node,3007392,never,0,,cache
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/numpy/_core/_simd.cpython-313-x86_64-linux-gnu.so,2882368,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/numpy/_core/_simd.cpython-313-x86_64-linux-gnu.so,2882368,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/aiohttp/_http_parser.cpython-312-x86_64-linux-gnu.so,2878000,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/aiohttp/_http_parser.cpython-313-x86_64-linux-gnu.so,2866032,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/numpy.libs/libgfortran-040039e1-0352e75f.so.5.0.0,2833617,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/numpy.libs/libgfortran-040039e1-0352e75f.so.5.0.0,2833617,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pyarrow/libarrow_dataset.so.2100,2776104,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pyarrow/libarrow_dataset.so.2100,2776104,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/microsoft-promptwizard/venv/lib/python3.12/site-packages/pyarrow/libarrow_dataset.so.1500,2753896,never,0,,legacy_dir
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pyarrow/libarrow_python.so.2100.0.0,2734448,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pyarrow/libarrow_python.so.2100,2734448,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/nextjs-app/venv/lib/python3.13/site-packages/pyarrow/libarrow_python.so,2734448,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pyarrow/libarrow_python.so.2100.0.0,2734448,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pyarrow/libarrow_python.so.2100,2734448,never,0,,unknown_orphan
attic/TO_REMOVE_20250808/venv/lib/python3.13/site-packages/pyarrow/libarrow_python.so,2734448,never,0,,unknown_orphan
